User_id,Login,Nombres,ApellidoPaterno,ApellidoMaterno,Password,TipoUser_id,Status,fCreate,IDArea,LastLoginAttempt
23,gerardoAdmin,gerardoAdmin,gerardoAdmin,gerardoAdmin,0CC175B9C0F1B6A831C399E269772661,2,2,2024-06-04 12:55:00,1,2024-06-04 12:54:51
24,gmoralesAdmin,gmoralesAdmin,gmoralesAdmin,gmoralesAdmin,0CC175B9C0F1B6A831C399E269772661,2,3,2024-06-04 12:55:00,1,2024-06-04 12:54:51
25,gusAdmin,gusAdmin,gusAdmin,gusAdmin,0CC175B9C0F1B6A831C399E269772661,2,1,2024-06-04 12:55:00,1,2024-06-04 12:54:51
26,hugoAdmin,hugoAdmin,hugoAdmin,hugoAdmin,0CC175B9C0F1B6A831C399E269772661,2,2,2024-06-04 12:55:00,1,2024-10-02 13:38:05
27,irisAdmin,irisAdmin,irisAdmin,irisAdmin,0CC175B9C0F1B6A831C399E269772661,2,3,2024-06-04 12:55:00,1,2024-06-04 12:54:52
28,ivanAdmin,ivanAdmin,ivanAdmin,ivanAdmin,0CC175B9C0F1B6A831C399E269772661,2,1,2024-06-04 12:55:00,1,2024-06-04 12:54:52
29,jesusAdmin,jesusAdmin,jesusAdmin,jesusAdmin,0CC175B9C0F1B6A831C399E269772661,2,2,2024-06-04 12:55:00,1,2024-10-04 15:25:42
30,jesus2Admin,jesus2Admin,jesus2Admin,jesus2Admin,0CC175B9C0F1B6A831C399E269772661,2,3,2024-06-04 12:55:00,1,2024-06-04 12:54:52
31,jesuscastroAdmin,jesuscastroAdmin,jesuscastroAdmin,jesuscastroAdmin,0CC175B9C0F1B6A831C399E269772661,2,1,2024-06-04 12:55:00,1,2024-06-04 12:54:52
32,jesusrodriguezAdmin,jesusrodriguezAdmin,jesusrodriguezAdmin,jesusrodriguezAdmin,0CC175B9C0F1B6A831C399E269772661,2,2,2024-06-04 12:55:00,1,2024-06-04 12:54:52
33,jhernandezAdmin,jhernandezAdmin,jhernandezAdmin,jhernandezAdmin,0CC175B9C0F1B6A831C399E269772661,2,3,2024-06-04 12:55:00,1,2024-06-04 12:54:52
34,jnunezAdmin,jnunezAdmin,jnunezAdmin,jnunezAdmin,0CC175B9C0F1B6A831C399E269772661,2,1,2024-06-04 12:55:00,1,2024-06-04 12:54:52
35,joseAdmin,joseAdmin,joseAdmin,joseAdmin,0CC175B9C0F1B6A831C399E269772661,2,2,2024-06-04 12:55:00,1,2024-06-04 12:54:52
36,jramirezAdmin,jramirezAdmin,jramirezAdmin,jramirezAdmin,0CC175B9C0F1B6A831C399E269772661,2,3,2024-06-04 12:55:00,1,2024-06-04 12:54:52
37,jvazquezAdmin,jvazquezAdmin,jvazquezAdmin,jvazquezAdmin,0CC175B9C0F1B6A831C399E269772661,2,1,2024-06-04 12:55:00,1,2024-06-04 12:54:53
38,jvelascoAdmin,jvelascoAdmin,jvelascoAdmin,jvelascoAdmin,0CC175B9C0F1B6A831C399E269772661,2,2,2024-06-04 12:55:00,1,2024-06-04 12:54:53
39,karenAdmin,karenAdmin,karenAdmin,karenAdmin,0CC175B9C0F1B6A831C399E269772661,2,3,2024-06-04 12:55:00,1,2024-06-04 12:54:53
40,laloAdmin,laloAdmin,laloAdmin,laloAdmin,0CC175B9C0F1B6A831C399E269772661,2,1,2024-06-04 12:55:00,1,2024-06-04 12:54:53
41,lizAdmin,lizAdmin,lizAdmin,lizAdmin,0CC175B9C0F1B6A831C399E269772661,2,2,2024-06-04 12:55:00,1,2024-06-04 12:54:53
42,lnavaAdmin,lnavaAdmin,lnavaAdmin,lnavaAdmin,0CC175B9C0F1B6A831C399E269772661,2,3,2024-06-04 12:55:00,1,2024-06-04 12:54:53
43,lrangelAdmin,lrangelAdmin,lrangelAdmin,lrangelAdmin,0CC175B9C0F1B6A831C399E269772661,2,1,2024-06-04 12:55:00,1,2024-06-04 12:54:53
44,luisAdmin,luisAdmin,luisAdmin,luisAdmin,0CC175B9C0F1B6A831C399E269772661,2,2,2024-06-04 12:55:00,1,2024-06-04 12:54:53
45,marcoAdmin,marcoAdmin,marcoAdmin,marcoAdmin,0CC175B9C0F1B6A831C399E269772661,2,3,2024-06-04 12:55:00,1,2024-06-04 12:54:53
46,marcochagollaAdmin,marcochagollaAdmin,marcochagollaAdmin,marcochagollaAdmin,0CC175B9C0F1B6A831C399E269772661,2,1,2024-06-04 12:55:00,1,2024-06-04 12:54:53
47,marcogarciaAdmin,marcogarciaAdmin,marcogarciaAdmin,marcogarciaAdmin,0CC175B9C0F1B6A831C399E269772661,2,2,2024-06-04 12:55:00,1,2024-06-04 12:54:54
48,mlievanaAdmin,mlievanaAdmin,mlievanaAdmin,mlievanaAdmin,0CC175B9C0F1B6A831C399E269772661,2,3,2024-06-04 12:55:00,1,2024-06-04 12:54:54
49,omarAdmin,omarAdmin,omarAdmin,omarAdmin,0CC175B9C0F1B6A831C399E269772661,2,1,2024-06-04 12:55:00,1,2024-06-04 12:54:54
50,omejiaAdmin,omejiaAdmin,omejiaAdmin,omejiaAdmin,0CC175B9C0F1B6A831C399E269772661,2,2,2024-06-04 12:55:00,1,2024-06-04 12:54:54
51,oscarAdmin,oscarAdmin,oscarAdmin,oscarAdmin,0CC175B9C0F1B6A831C399E269772661,2,3,2024-06-04 12:55:00,1,2024-06-04 12:54:54
52,pacoAdmin,pacoAdmin,pacoAdmin,pacoAdmin,0CC175B9C0F1B6A831C399E269772661,2,1,2024-06-04 12:55:00,1,2024-06-04 12:54:54
53,rodAdmin,rodAdmin,rodAdmin,rodAdmin,0CC175B9C0F1B6A831C399E269772661,2,2,2024-06-04 12:55:00,1,2024-06-04 12:54:54
54,rsalazarAdmin,rsalazarAdmin,rsalazarAdmin,rsalazarAdmin,0CC175B9C0F1B6A831C399E269772661,2,3,2024-06-04 12:55:00,1,2024-06-04 12:54:54
55,to+她Admin,to+她Admin,to+她Admin,to+她Admin,0CC175B9C0F1B6A831C399E269772661,2,1,2024-06-04 12:55:00,1,2024-06-04 12:54:54
56,uespinosaAdmin,uespinosaAdmin,uespinosaAdmin,uespinosaAdmin,0CC175B9C0F1B6A831C399E269772661,2,2,2024-06-04 12:55:00,1,2024-06-04 12:54:54
57,ulisesAdmin,ulisesAdmin,ulisesAdmin,ulisesAdmin,0CC175B9C0F1B6A831C399E269772661,2,3,2024-06-04 12:55:00,1,2024-06-04 12:54:54
58,urielcabreraAdmin,urielcabreraAdmin,urielcabreraAdmin,urielcabreraAdmin,0CC175B9C0F1B6A831C399E269772661,2,1,2024-06-04 12:55:00,1,2024-06-04 12:54:55
59,user01Admin,user01Admin,user01Admin,user01Admin,0CC175B9C0F1B6A831C399E269772661,2,2,2024-06-04 12:55:00,1,2024-10-03 12:58:37
60,user02Admin,user02Admin,user02Admin,user02Admin,0CC175B9C0F1B6A831C399E269772661,2,3,2024-06-04 12:55:00,1,2024-06-04 12:54:55
61,user03Admin,user03Admin,user03Admin,user03Admin,0CC175B9C0F1B6A831C399E269772661,2,1,2024-06-04 12:55:00,1,2024-06-04 12:54:55
62,user04Admin,user04Admin,user04Admin,user04Admin,0CC175B9C0F1B6A831C399E269772661,2,2,2024-06-04 12:55:00,1,2024-06-04 12:54:55
63,user05Admin,user05Admin,user05Admin,user05Admin,0CC175B9C0F1B6A831C399E269772661,2,3,2024-06-04 12:55:00,1,2024-06-04 12:54:55
64,user06Admin,user06Admin,user06Admin,user06Admin,0CC175B9C0F1B6A831C399E269772661,2,1,2024-06-04 12:55:00,1,2024-06-04 12:54:55
65,user07Admin,user07Admin,user07Admin,user07Admin,0CC175B9C0F1B6A831C399E269772661,2,2,2024-06-04 12:55:00,1,2024-06-04 12:54:55
66,user08Admin,user08Admin,user08Admin,user08Admin,0CC175B9C0F1B6A831C399E269772661,2,3,2024-06-04 12:55:00,1,2024-06-04 12:54:55
67,user09Admin,user09Admin,user09Admin,user09Admin,0CC175B9C0F1B6A831C399E269772661,2,1,2024-06-04 12:55:00,1,2024-06-04 12:54:56
68,user10Admin,user10Admin,user10Admin,user10Admin,0CC175B9C0F1B6A831C399E269772661,2,2,2024-06-04 12:55:00,1,2024-06-04 12:54:56
69,leoAdmin,leoAdmin,leoAdmin,leoAdmin,0CC175B9C0F1B6A831C399E269772661,2,3,2024-06-04 12:55:00,1,2024-06-04 12:54:56
70,adriAgent,adriAgent,adriAgent,adriAgent,0CC175B9C0F1B6A831C399E269772661,1,1,2024-06-04 12:55:00,1,2024-06-04 12:54:56
71,agarciaAgent,agarciaAgent,agarciaAgent,agarciaAgent,0CC175B9C0F1B6A831C399E269772661,1,2,2024-06-04 12:55:00,1,2024-06-04 12:54:56
72,agonzalezAgent,agonzalezAgent,agonzalezAgent,agonzalezAgent,0CC175B9C0F1B6A831C399E269772661,1,3,2024-06-04 12:55:00,1,2024-06-04 12:54:56
73,alanAgent,alanAgent,alanAgent,alanAgent,0CC175B9C0F1B6A831C399E269772661,1,1,2024-06-04 12:55:00,1,2024-06-04 12:54:56
74,alexAgent,alexAgent,alexAgent,alexAgent,0CC175B9C0F1B6A831C399E269772661,1,2,2024-06-04 12:55:00,1,2024-06-04 12:54:56
75,armandAgent,armandAgent,armandAgent,armandAgent,0CC175B9C0F1B6A831C399E269772661,1,3,2024-06-04 12:55:00,1,2024-06-04 12:54:56
76,carlosAgent,carlosAgent,carlosAgent,carlosAgent,0CC175B9C0F1B6A831C399E269772661,1,1,2024-06-04 12:55:00,1,2024-06-04 12:54:56
77,cechavezAgent,cechavezAgent,cechavezAgent,cechavezAgent,0CC175B9C0F1B6A831C399E269772661,1,2,2024-06-04 12:55:00,1,2024-06-04 12:54:57
78,charlesAgent,charlesAgent,charlesAgent,charlesAgent,0CC175B9C0F1B6A831C399E269772661,1,3,2024-06-04 12:55:00,1,2024-06-04 12:54:57
79,daniAgent,daniAgent,daniAgent,daniAgent,0CC175B9C0F1B6A831C399E269772661,1,1,2024-06-04 12:55:00,1,2024-06-04 12:54:57
80,davidAgent,davidAgent,davidAgent,davidAgent,0CC175B9C0F1B6A831C399E269772661,1,2,2024-06-04 12:55:00,1,2024-06-04 12:54:57
81,efloresAgent,efloresAgent,efloresAgent,efloresAgent,0CC175B9C0F1B6A831C399E269772661,1,3,2024-06-04 12:55:00,1,2024-06-04 12:54:57
82,eguevaraAgent,eguevaraAgent,eguevaraAgent,eguevaraAgent,0CC175B9C0F1B6A831C399E269772661,1,1,2024-06-04 12:55:00,1,2024-06-04 12:54:57
83,ericAgent,ericAgent,ericAgent,ericAgent,0CC175B9C0F1B6A831C399E269772661,1,2,2024-06-04 12:55:00,1,2024-06-04 12:54:57
84,fabiAgent,fabiAgent,fabiAgent,fabiAgent,0CC175B9C0F1B6A831C399E269772661,1,3,2024-06-04 12:55:00,1,2024-10-02 17:10:14
85,fabianAgent,fabianAgent,fabianAgent,fabianAgent,0CC175B9C0F1B6A831C399E269772661,1,1,2024-06-04 12:55:00,1,2024-10-02 17:09:18
86,fcotaAgent,fcotaAgent,fcotaAgent,fcotaAgent,0CC175B9C0F1B6A831C399E269772661,1,2,2024-06-04 12:55:00,1,2024-06-04 12:54:57
87,fnajeraAgent,fnajeraAgent,fnajeraAgent,fnajeraAgent,0CC175B9C0F1B6A831C399E269772661,1,3,2024-06-04 12:55:00,1,2024-06-04 12:54:58
88,fridaAgent,fridaAgent,fridaAgent,fridaAgent,0CC175B9C0F1B6A831C399E269772661,1,1,2024-06-04 12:55:00,1,2024-06-04 17:49:15
89,gabiAgent,gabiAgent,gabiAgent,gabiAgent,0CC175B9C0F1B6A831C399E269772661,1,2,2024-06-04 12:55:00,1,2024-06-04 12:54:58
90,gcruzAgent,gcruzAgent,gcruzAgent,gcruzAgent,0CC175B9C0F1B6A831C399E269772661,1,3,2024-06-04 12:55:00,1,2024-06-04 12:54:58
91,gerardoAgent,gerardoAgent,gerardoAgent,gerardoAgent,0CC175B9C0F1B6A831C399E269772661,1,1,2024-06-04 12:55:00,1,2024-06-04 12:54:58
92,gmoralesAgent,gmoralesAgent,gmoralesAgent,gmoralesAgent,0CC175B9C0F1B6A831C399E269772661,1,2,2024-06-04 12:55:00,1,2024-06-04 12:54:58
93,gusAgent,gusAgent,gusAgent,gusAgent,0CC175B9C0F1B6A831C399E269772661,1,3,2024-06-04 12:55:00,1,2024-06-04 12:54:58
94,hugoAgent,hugoAgent,hugoAgent,hugoAgent,0CC175B9C0F1B6A831C399E269772661,1,1,2024-06-04 12:55:00,1,2024-10-03 13:27:46
95,irisAgent,irisAgent,irisAgent,irisAgent,0CC175B9C0F1B6A831C399E269772661,1,2,2024-06-04 12:55:00,1,2024-06-04 12:54:58
96,ivanAgent,ivanAgent,ivanAgent,ivanAgent,0CC175B9C0F1B6A831C399E269772661,1,3,2024-06-04 12:55:00,1,2024-06-04 12:54:58
97,jesusAgent,jesusAgent,jesusAgent,jesusAgent,0CC175B9C0F1B6A831C399E269772661,1,1,2024-06-04 12:55:00,1,2024-10-03 12:44:46
98,jesus2Agent,jesus2Agent,jesus2Agent,jesus2Agent,0CC175B9C0F1B6A831C399E269772661,1,2,2024-06-04 12:55:00,1,2024-06-04 12:54:59
99,jesuscastroAgent,jesuscastroAgent,jesuscastroAgent,jesuscastroAgent,0CC175B9C0F1B6A831C399E269772661,1,3,2024-06-04 12:55:00,1,2024-06-04 12:54:59
100,jesusrodriguezAgent,jesusrodriguezAgent,jesusrodriguezAgent,jesusrodriguezAgent,0CC175B9C0F1B6A831C399E269772661,1,1,2024-06-04 12:55:00,1,2024-06-04 12:54:59
101,jhernandezAgent,jhernandezAgent,jhernandezAgent,jhernandezAgent,0CC175B9C0F1B6A831C399E269772661,1,2,2024-06-04 12:55:00,1,2024-06-04 12:54:59
102,jnunezAgent,jnunezAgent,jnunezAgent,jnunezAgent,0CC175B9C0F1B6A831C399E269772661,1,3,2024-06-04 12:55:00,1,2024-06-04 12:54:59
103,joseAgent,joseAgent,joseAgent,joseAgent,0CC175B9C0F1B6A831C399E269772661,1,1,2024-06-04 12:55:00,1,2024-06-04 12:54:59
104,jramirezAgent,jramirezAgent,jramirezAgent,jramirezAgent,0CC175B9C0F1B6A831C399E269772661,1,2,2024-06-04 12:55:00,1,2024-06-04 12:54:59
105,jvazquezAgent,jvazquezAgent,jvazquezAgent,jvazquezAgent,0CC175B9C0F1B6A831C399E269772661,1,3,2024-06-04 12:55:00,1,2024-06-04 12:54:59
106,jvelascoAgent,jvelascoAgent,jvelascoAgent,jvelascoAgent,0CC175B9C0F1B6A831C399E269772661,1,1,2024-06-04 12:55:00,1,2024-06-04 12:54:59
107,karenAgent,karenAgent,karenAgent,karenAgent,0CC175B9C0F1B6A831C399E269772661,1,2,2024-06-04 12:55:00,1,2024-06-04 12:54:59
108,laloAgent,laloAgent,laloAgent,laloAgent,0CC175B9C0F1B6A831C399E269772661,1,3,2024-06-04 12:55:00,1,2024-06-04 12:54:59
109,lizAgent,lizAgent,lizAgent,lizAgent,0CC175B9C0F1B6A831C399E269772661,1,1,2024-06-04 12:55:00,1,2024-06-04 12:55:00
110,lnavaAgent,lnavaAgent,lnavaAgent,lnavaAgent,0CC175B9C0F1B6A831C399E269772661,1,2,2024-06-04 12:55:00,1,2024-06-04 12:55:00
111,lrangelAgent,lrangelAgent,lrangelAgent,lrangelAgent,0CC175B9C0F1B6A831C399E269772661,1,3,2024-06-04 12:55:00,1,2024-06-04 12:55:00
112,luisAgent,luisAgent,luisAgent,luisAgent,0CC175B9C0F1B6A831C399E269772661,1,1,2024-06-04 12:55:00,1,2024-06-04 12:55:00
113,marcoAgent,marcoAgent,marcoAgent,marcoAgent,0CC175B9C0F1B6A831C399E269772661,1,2,2024-06-04 12:55:00,1,2024-06-04 12:55:00
114,marcochagollaAgent,marcochagollaAgent,marcochagollaAgent,marcochagollaAgent,0CC175B9C0F1B6A831C399E269772661,1,3,2024-06-04 12:55:00,1,2024-06-04 12:55:00
115,marcogarciaAgent,marcogarciaAgent,marcogarciaAgent,marcogarciaAgent,0CC175B9C0F1B6A831C399E269772661,1,1,2024-06-04 12:55:00,1,2024-06-04 12:55:00
116,mlievanaAgent,mlievanaAgent,mlievanaAgent,mlievanaAgent,0CC175B9C0F1B6A831C399E269772661,1,2,2024-06-04 12:55:00,1,2024-06-04 12:55:00
117,omarAgent,omarAgent,omarAgent,omarAgent,0CC175B9C0F1B6A831C399E269772661,1,3,2024-06-04 12:55:00,1,2024-06-04 12:55:00
118,omejiaAgent,omejiaAgent,omejiaAgent,omejiaAgent,0CC175B9C0F1B6A831C399E269772661,1,1,2024-06-04 12:55:00,1,2024-06-04 12:55:00
119,oscarAgent,oscarAgent,oscarAgent,oscarAgent,0CC175B9C0F1B6A831C399E269772661,1,2,2024-06-04 12:55:00,1,2024-06-04 12:55:01
120,pacoAgent,pacoAgent,pacoAgent,pacoAgent,0CC175B9C0F1B6A831C399E269772661,1,3,2024-06-04 12:55:00,1,2024-06-04 12:55:01
121,rodAgent,rodAgent,rodAgent,rodAgent,0CC175B9C0F1B6A831C399E269772661,1,1,2024-06-04 12:55:00,1,2024-06-04 12:55:01
122,rsalazarAgent,rsalazarAgent,rsalazarAgent,rsalazarAgent,0CC175B9C0F1B6A831C399E269772661,1,2,2024-06-04 12:55:00,1,2024-06-04 12:55:01
123,to+她Agent,to+她Agent,to+她Agent,to+她Agent,0CC175B9C0F1B6A831C399E269772661,1,3,2024-06-04 12:55:00,1,2024-06-04 12:55:01
124,uespinosaAgent,uespinosaAgent,uespinosaAgent,uespinosaAgent,0CC175B9C0F1B6A831C399E269772661,1,1,2024-06-04 12:55:00,1,2024-06-04 12:55:01
125,ulisesAgent,ulisesAgent,ulisesAgent,ulisesAgent,0CC175B9C0F1B6A831C399E269772661,1,2,2024-06-04 12:55:00,1,2024-06-04 12:55:02
126,urielcabreraAgent,urielcabreraAgent,urielcabreraAgent,urielcabreraAgent,0CC175B9C0F1B6A831C399E269772661,1,3,2024-06-04 12:55:00,1,2024-06-04 12:55:02
127,user01Agent,user01Agent,user01Agent,user01Agent,0CC175B9C0F1B6A831C399E269772661,1,1,2024-06-04 12:55:00,1,2024-06-04 17:48:40
128,user02Agent,user02Agent,user02Agent,user02Agent,0CC175B9C0F1B6A831C399E269772661,1,2,2024-06-04 12:55:00,1,2024-06-04 12:55:02
129,user03Agent,user03Agent,user03Agent,user03Agent,0CC175B9C0F1B6A831C399E269772661,1,3,2024-06-04 12:55:00,1,2024-06-04 12:55:03
130,user04Agent,user04Agent,user04Agent,user04Agent,0CC175B9C0F1B6A831C399E269772661,1,1,2024-06-04 12:55:00,1,2024-06-04 12:55:03
131,user05Agent,user05Agent,user05Agent,user05Agent,0CC175B9C0F1B6A831C399E269772661,1,2,2024-06-04 12:55:00,1,2024-10-02 17:05:06
132,user06Agent,user06Agent,user06Agent,user06Agent,0CC175B9C0F1B6A831C399E269772661,1,3,2024-06-04 12:55:00,1,2024-06-04 12:55:03
133,user07Agent,user07Agent,user07Agent,user07Agent,0CC175B9C0F1B6A831C399E269772661,1,1,2024-06-04 12:55:00,1,2024-06-04 12:55:03
134,user08Agent,user08Agent,user08Agent,user08Agent,0CC175B9C0F1B6A831C399E269772661,1,2,2024-06-04 12:55:00,1,2024-06-04 12:55:03
135,user09Agent,user09Agent,user09Agent,user09Agent,0CC175B9C0F1B6A831C399E269772661,1,3,2024-06-04 12:55:00,1,2024-06-04 12:55:03
136,user10Agent,user10Agent,user10Agent,user10Agent,0CC175B9C0F1B6A831C399E269772661,1,1,2024-06-04 12:55:00,1,2024-06-04 12:55:04
137,leoAgent,leoAgent,leoAgent,leoAgent,0CC175B9C0F1B6A831C399E269772661,1,2,2024-06-04 12:55:00,1,2024-06-04 12:55:04
